,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
47300,0003129L-DFI,DDA Diógenes,Aluguel,Apartamento,58,ASA NORTE,BRASILIA,2700,46,2.0,,-157629679,-478934863,8
47487,790544,Agropar Netimóveis,Aluguel,Apartamento,128,ASA NORTE,BRASILIA,5600,43,3.0,1.0,-157388312,-478976534,8
47509,AP0395,Futura Consultoria e Negócios,Aluguel,Apartamento,81,ASA NORTE,BRASILIA,4800,59,1.0,1.0,-157782754,-478893432,0
47532,AP17281,Thaís Imobiliaria,Aluguel,Apartamento,47,ASA NORTE,BRASILIA,2000,42,2.0,,-157532641,-478952093,8
47616,03718,Plano Imobiliária,Aluguel,Apartamento,154,ASA NORTE,BRASILIA,7500,48,3.0,1.0,-157701809,-478836208,3
47657,AP4520,Coemi Imóveis,Aluguel,Apartamento,134,ASA NORTE,BRASILIA,7200,53,3.0,1.0,-157786492,-478801143,7
47679,731472,Massuh Imóveis,Aluguel,Apartamento,55,ASA NORTE,BRASILIA,4500,81,1.0,,-15790901,-47885275,5
47680,AP4475,Coemi Imóveis,Aluguel,Apartamento,35,ASA NORTE,BRASILIA,2500,71,1.0,1.0,-157477129,-479014025,2
47806,Pt55,HR Gestão Imobiliária,Aluguel,Apartamento,55,ASA NORTE,BRASILIA,2700,49,2.0,1.0,-157657393,-478790169,3
47821,AP1744,Coemi Imóveis,Aluguel,Apartamento,50,ASA NORTE,BRASILIA,2945,58,1.0,,-157555023,-478842022,0
47905,AP0384,Artiaga Imóveis,Aluguel,Apartamento,99,ASA NORTE,BRASILIA,5000,50,3.0,1.0,-15772336,-478869,3
47957,AP0076,Samantha Imóveis,Aluguel,Apartamento,102,ASA NORTE,BRASILIA,4600,45,3.0,,-157420506,-478923759,8
48050,CO0058,Atalaia Empreendimentos Imobiliários,Aluguel,Apartamento,80,ASA NORTE,BRASILIA,5860,73,1.0,1.0,-157805624,-478893126,2
48102,1013961,Bela Casa,Aluguel,Apartamento,376,ASA NORTE,BRASILIA,15000,39,4.0,2.0,-157451341,-478956222,1
48106,RRO337,Rodolfo Imóveis,Aluguel,Apartamento,22,ASA NORTE,BRASILIA,1100,50,1.0,,-157770833,-478839797,3
48152,RRO489,Rodolfo Imóveis,Aluguel,Apartamento,25,ASA NORTE,BRASILIA,800,32,1.0,,-157513647,-478973306,4
48160,1031530,Nicolle Menali,Aluguel,Apartamento,107,ASA NORTE,BRASILIA,6500,60,3.0,1.0,-157528603,-47884741,0
48178,AP000402VV,Aldeia Imóveis,Aluguel,Apartamento,70,ASA NORTE,BRASILIA,3500,50,2.0,,-157830515,-478756755,3
48230,VK2941,TRK  Imóveis,Aluguel,Apartamento,114,ASA NORTE,BRASILIA,6500,57,3.0,2.0,-157580429,-478906367,7
48259,8943,61 Imóveis,Aluguel,Apartamento,33,ASA NORTE,BRASILIA,1950,59,1.0,,-157371558,-478941997,0
