,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
18860,MeuIMB373,Meu Imóvel,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-158166268,-479038167,0
19322,VILLA147347V01,Abadia Imóveis,Venda,Apartamento,136,ASA SUL,BRASILIA,1700000,12500,3.0,1.0,-158279649,-479242657,6
19361,1029427,PP Imóveis,Venda,Apartamento,127,ASA SUL,BRASILIA,1440000,11338,3.0,1.0,-158154809,-478955468,7
19849,1033481,Luiz Cláudio Corretor de Imóveis,Venda,Apartamento,135,ASA SUL,BRASILIA,1375000,10185,3.0,,-158087889,-478993998,5
20090,646681,Nelson Alves Carneiro,Venda,Apartamento,125,ASA SUL,BRASILIA,1150000,9200,3.0,,-15824947,-47924769,1
20113,AP0412,Futura Consultoria e Negócios,Venda,Apartamento,137,ASA SUL,BRASILIA,1320000,9635,3.0,1.0,-158194826,-479061514,8
20184,AP01509,Maisimóveis,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-158166268,-479038167,0
20288,99,IMOBMAXX,Venda,Apartamento,120,ASA SUL,BRASILIA,1449000,12075,3.0,1.0,-158251994,-479106207,2
20608,AP0031,Maxximo Imóveis,Venda,Apartamento,125,ASA SUL,BRASILIA,990000,7920,3.0,,-158232248,-479228223,3
21823,1049390,Yani Netimóveis,Venda,Apartamento,120,ASA SUL,BRASILIA,1450000,12083,3.0,1.0,-158317795,-479182482,2
22126,880341020-31,RE/MAX Capital,Venda,Apartamento,136,ASA SUL,BRASILIA,1240000,9117,3.0,1.0,-158194826,-479061514,1
24601,885967,Patrícia Alves Corretora de Imóveis,Venda,Apartamento,141,ASA SUL,BRASILIA,1550000,10992,3.0,,-158166268,-479038167,0
24711,FIS00233,Ferola Empreendimentos Imobiliários,Venda,Apartamento,136,ASA SUL,BRASILIA,1390000,10220,3.0,1.0,-158194826,-479061514,5
